Value,Mandatory QA flags,Data quality flag,Cloud/Ocean Flag,Iterations,Atmospheric Opacity,MMD,Emissivity accuracy,LST accuracy
16834,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
16838,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
17088,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
17089,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
17090,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
17093,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
17094,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
17858,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
17862,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
18112,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
18113,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
18114,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
18117,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
18118,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
18882,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
18886,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
19136,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
19137,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
19138,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
19141,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
19142,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
19910,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
20160,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
20162,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
20165,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
20166,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
32770,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Slow convergence,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
32774,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Slow convergence,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
32783,"Pixel not produced due to missing/bad data, user should check data quality flag bits",Missing/bad L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Slow convergence,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
32834,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Nominal,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
32838,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Nominal,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
32898,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Nominal,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
32902,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Nominal,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
32962,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
32966,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33154,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Nominal,0.2 - 0.3 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33218,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33222,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33472,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33473,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33474,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33477,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33478,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33728,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33729,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33730,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33733,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
33734,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1 - 1.5 K (Good performance)
34242,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
34246,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
34496,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
34497,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
34498,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
34501,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
34502,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
34752,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
34753,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
34754,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
34757,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
34758,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35266,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35270,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35520,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35521,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35522,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35525,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35526,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35776,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35777,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35778,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35781,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
35782,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
36290,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
36294,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
36544,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
36546,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
36549,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
36550,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
36800,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
36802,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
36805,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
36806,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),1 - 1.5 K (Good performance)
50112,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),>0.02 (Poor performance),<1 K (Excellent performance)
50113,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),>0.02 (Poor performance),<1 K (Excellent performance)
50114,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),>0.02 (Poor performance),<1 K (Excellent performance)
50117,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),>0.02 (Poor performance),<1 K (Excellent performance)
50118,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),>0.02 (Poor performance),<1 K (Excellent performance)
50880,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),<1 K (Excellent performance)
50881,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),<1 K (Excellent performance)
51136,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),<1 K (Excellent performance)
51137,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),<1 K (Excellent performance)
51138,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),<1 K (Excellent performance)
51141,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),<1 K (Excellent performance)
